hour,total_demand
1,38973.25
2,37569.75
3,36502.50
4,36566.00
5,36483.50
6,36784.25
7,37195.25
8,39112.75
9,42726.75
10,46195.00
11,48347.00
12,50033.50
13,49826.50
14,48490.25
15,46709.25
16,46068.00
17,45686.00
18,47030.25
19,48215.50
20,47799.50
21,47669.50
22,46508.50
23,45042.50
24,42897.75
25,41482.00
26,40024.50
27,39214.25
28,39352.00
29,40417.25
30,44404.75
31,51409.25
32,55884.75
33,59870.25
34,61694.25
35,63505.00
36,64488.00
37,63863.50
38,63553.75
39,61480.50
40,61552.75
41,60130.00
42,60455.75
43,59450.75
44,58257.00
45,58028.25
46,55042.00
47,51135.00
48,47765.75
49,46146.25
50,44487.00
51,43495.75
52,43326.50
53,44808.25
54,48065.50
55,53829.75
56,58346.25
57,61914.00
58,64226.75
59,64830.75
60,64937.75
61,65049.50
62,64345.00
63,62827.00
64,61315.50
65,61277.25
66,61114.25
67,60028.00
68,58805.25
69,57714.50
70,55027.25
71,51520.50
72,48411.00
73,46305.00
74,44787.00
75,44063.00
76,44518.00
77,44960.25
78,47969.00
79,54448.00
80,58864.00
81,63159.75
82,65053.50
83,67074.50
84,67834.50
85,66919.00
86,65797.00
87,64619.25
88,63150.75
89,62405.25
90,62533.00
91,61386.50
92,60087.75
93,59080.75
94,56175.75
95,52294.00
96,48545.75
97,45642.50
98,43533.50
99,42827.75
100,42859.75
101,43671.00
102,46966.75
103,53429.25
104,58096.75
105,61885.25
106,64252.75
107,65482.00
108,66715.75
109,66240.25
110,66745.00
111,65758.25
112,65378.75
113,64614.25
114,63387.25
115,62742.50
116,61966.50
117,61224.25
118,57988.75
119,53947.00
120,50189.00
121,47041.75
122,45497.75
123,44576.75
124,44544.25
125,45464.75
126,48715.75
127,54751.50
128,58265.75
129,61603.75
130,63227.50
131,65025.50
132,65886.50
133,65213.50
134,64062.00
135,62312.75
136,60155.75
137,58757.00
138,59097.75
139,58868.00
140,57342.75
141,56541.25
142,53885.75
143,49812.75
144,46151.00
145,43334.50
146,41794.00
147,40930.75
148,40404.50
149,40159.50
150,40753.25
151,41879.25
152,43880.50
153,47773.00
154,50912.00
155,53058.00
156,53745.25
157,53457.50
158,51684.50
159,50311.25
160,49252.25
161,48798.50
162,49255.00
163,49626.75
164,48958.50
165,47866.25
166,45727.50
167,43666.75
168,41488.50
169,39875.50
170,37986.00
171,36428.25
172,36122.75
173,36058.50
174,36314.50
175,36926.00
176,38829.75
177,43121.25
178,46380.00
179,49084.50
180,51139.25
181,50737.00
182,48609.50
183,47525.00
184,47202.75
185,46367.50
186,47149.50
187,48090.50
188,48371.50
189,47965.00
190,46575.00
191,44732.00
192,42555.50
193,41202.25
194,40283.50
195,40053.25
196,40038.50
197,41131.25
198,44503.75
199,51782.25
200,56396.50
201,59449.00
202,61533.75
203,62939.75
204,63175.25
205,62647.50
206,62578.00
207,61670.75
208,60673.50
209,59734.00
210,59708.25
211,59685.50
212,59111.75
213,57911.00
214,54987.00
215,50681.00
216,46762.25
217,45045.00
218,43634.75
219,42655.50
220,42934.00
221,43858.25
222,47482.50
223,54599.50
224,58836.25
225,62021.25
226,63493.50
227,66215.25
228,66090.00
229,66329.75
230,65259.25
231,63786.25
232,62513.75
233,61082.75
234,61517.75
235,60878.50
236,59868.00
237,57707.00
238,54159.25
239,50097.50
240,46525.50
241,44230.25
242,43157.25
243,41986.75
244,42382.25
245,43744.00
246,47117.25
247,53692.50
248,58243.75
249,61194.75
250,63336.00
251,64226.25
252,64396.50
253,64272.50
254,62648.00
255,61105.75
256,59573.75
257,59463.75
258,59633.75
259,59373.25
260,58810.00
261,57504.25
262,53902.75
263,50469.75
264,47132.00
265,44736.00
266,42822.50
267,42253.50
268,42765.00
269,43112.00
270,46603.50
271,53657.25
272,58248.00
273,60448.25
274,62254.25
275,62849.00
276,63600.25
277,62458.00
278,60653.00
279,58565.75
280,57669.50
281,57390.00
282,58135.75
283,57800.75
284,57415.75
285,55976.50
286,52676.00
287,49121.00
288,45504.00
289,42961.25
290,42294.75
291,41122.25
292,41111.00
293,42168.50
294,45601.50
295,52901.75
296,57014.00
297,59275.00
298,61152.25
299,60994.00
300,61205.25
301,60971.50
302,60249.00
303,58972.50
304,57572.25
305,56621.50
306,56826.50
307,56132.50
308,55639.25
309,53922.50
310,51049.00
311,47447.75
312,44105.00
313,41283.50
314,39606.25
315,38986.00
316,38416.25
317,38788.75
318,39515.25
319,41117.25
320,43085.00
321,46633.00
322,49745.75
323,52052.75
324,52836.50
325,52570.00
326,50614.25
327,48779.00
328,48248.75
329,48017.50
330,48207.25
331,48843.00
332,48535.00
333,47698.00
334,44896.50
335,42384.25
336,40085.50